obs_uid,item_name,bh_name
0072f7cf-3257-4d8e-9058-43b4d25099b5,Fresh cucumber,Fresh or chilled vegetables other than potatoes
00a1825f-bd54-4355-ba61-19d2f81eb46a,"Fresh bananas, standard",Fresh or chilled fruit
00b21410-2c19-484f-a16e-dd4f29aa3f9a,Fresh onions,Fresh or chilled vegetables other than potatoes
00b21c18-7343-4480-b582-00680a4215b1,"Fresh potatoes, brown",Fresh or chilled potatoes
00e2de86-1501-4887-98b1-7ba3583b6a36,Tilapia,"Fresh, chilled or frozen fish and seafood"
01039990-f945-4985-b7f5-f1f2b5a23e92,"Fresh potatoes, brown",Fresh or chilled potatoes
010da5ee-7e2c-4a87-b8ae-d660a113e018,"Fresh apples, typical local variety",Fresh or chilled fruit
01220c28-a0ac-401f-972b-6ea226527f67,Tilapia,"Fresh, chilled or frozen fish and seafood"
01247831-1528-4354-bdd0-f3fdc80df0cb,"Fresh potatoes, brown",Fresh or chilled potatoes
0136ef99-4e04-417d-8138-4d3207e75fc0,"Pork, fillet",Pork
014c7d04-2d34-4b2f-b9c1-e629a02f383a,"Fresh apples, typical local variety",Fresh or chilled fruit
0175d340-d97e-4b75-b820-a6ec4e9d92d3,Fresh cucumber,Fresh or chilled vegetables other than potatoes
018e1817-1e39-4774-bf24-13452373c4bd,Fresh onions,Fresh or chilled vegetables other than potatoes
0190a286-c770-4655-b427-3891068ecef2,"Pork, fillet",Pork
01c4348e-51d8-48eb-a43a-2fa6f3055823,Fresh cucumber,Fresh or chilled vegetables other than potatoes
01d7beb8-dc85-4e06-bc1c-7112aabc5e36,"Fresh apple, red delicious",Fresh or chilled fruit
01ec5a68-a9c8-4d69-8794-6ef7131a418b,Fresh cucumber,Fresh or chilled vegetables other than potatoes
01ec9384-029c-4eda-999f-8d4d0705cd6a,"Fresh apple, red delicious",Fresh or chilled fruit
02071d9f-466d-4c93-8591-33fedc3aa7e3,"Mackerel, un-cleaned","Fresh, chilled or frozen fish and seafood"
02151c0d-4d6c-400a-8b85-c0b08102faec,Chicken legs,Poultry
02341d4c-91f6-4ac0-a411-6ef1c3b91824,Fresh oranges,Fresh or chilled fruit
024645a4-ca8c-4349-8543-5eb9d788ca92,"Fresh apple, red delicious",Fresh or chilled fruit
025f19f9-88eb-41d5-b5db-79019d50d67d,Chicken legs,Poultry
026758e7-1a2a-4e83-b81c-3383cc0cfbe7,Fresh carrots,Fresh or chilled vegetables other than potatoes
026bff7b-addc-452a-bbdd-c522b6a1d1b4,Fresh oranges,Fresh or chilled fruit
027f22e7-4dbb-4231-867b-c7e9aa0ef62e,Fresh cucumber,Fresh or chilled vegetables other than potatoes
02827838-626f-4580-868b-3a98ac78b1c7,"Fresh potatoes, brown",Fresh or chilled potatoes
0299ee11-aea3-4750-b64f-1ee90e377a12,Carp,"Fresh, chilled or frozen fish and seafood"
02a1c1d7-bd57-4efd-8501-59b9410424de,"Pork, fillet",Pork
